Business units N-1,Business units N-2,Business units N-3,CODE,BU,ID,Level,Emp. No.
 مكتب الوزير,الإدارة العامة لتقنية وأمن المعلومات ,الادارة العامة للامن السبراني ,A-8-A,الادارة العامة للامن السبراني ,A-8-A,N-3,25
مكتب رئيس الجهاز العسكري,سلاح الاشارة,الامن السبراني في سلاح الاشارة,B-9-A,الامن السبراني في سلاح الاشارة,B-9-A,N-3,12
مكتب CEO,مكتب COO,الامن السيبراني - القطاع الصحي,E-1-G,الامن السيبراني - القطاع الصحي,E-1-G,N-3,7
مكتب الوزير,الإدارة العامة لتقنية وأمن المعلومات ,N/A,A-8,الإدارة العامة لتقنية وأمن المعلومات ,A-8,N-2,438
مكتب الوزير,مركز الاتصال والإعلام,N/A,A-7,مركز الاتصال والإعلام,A-7,N-2,71
مكتب رئيس الجهاز العسكري,سلاح الاشارة,N/A,B-9,سلاح الاشارة,B-9,N-2,4092
مكتب CEO,مكتب COO,تقنية المعلومات في القطاع الصحي,E-1-F,تقنية المعلومات في القطاع الصحي,E-1-F,N-3,183
مكتب وكيل الوزارة,خدمات الدعم المؤسسي,الموارد البشرية,D-1-D,الموارد البشرية,D-1-D,N-3,183
مكتب رئيس الجهاز العسكري,هيئة الإمداد والتموين,N/A,B-4,هيئة الإمداد والتموين,B-4,N-2,257
مكتب رئيس الجهاز العسكري,هيئة شؤون الافراد,N/A,B-5,هيئة شؤون الافراد,B-5,N-2,509
مكتب رئيس الجهاز العسكري,الإدارة العامة لشؤون الضباط,N/A,B-7,الإدارة العامة لشؤون الضباط,B-7,N-2,133
مكتب رئيس الجهاز العسكري,قيادة الشرطة العسكرية,N/A,B-10,قيادة الشرطة العسكرية,B-10,N-2,460
مكتب رئيس الجهاز العسكري,كلية الملك عبدالله للقيادة والاركان,N/A,B-12,كلية الملك عبدالله للقيادة والاركان,B-12,N-2,552
مكتب رئيس الجهاز العسكري,كلية الملك خالد العسكرية,N/A,B-11,كلية الملك خالد العسكرية,B-11,N-2,1781
مكتب CEO,مكتب COO,الموارد البشرية في القطاع الصحي,E-1-A,الموارد البشرية في القطاع الصحي,E-1-A,N-3,345
مكتب CEO,مكتب COO,الادارة المالية في القطاع الصحي,E-1-B,الادارة المالية في القطاع الصحي,E-1-B,N-3,35
مكتب CEO,مركز ابحاث KAIMRC,N/A,E-10,مركز ابحاث KAIMRC,E-10,N-2,0
مكتب CEO,كلية الشؤون الصحية في جامعة الملك سعود,N/A,E-9,كلية الشؤون الصحية في جامعة الملك سعود,E-9,N-2,0
مكتب CEO,مكتب COO,N/A,E-1,مكتب COO,E-1,N-2,6
مكتب CEO,مكتب COO,ادارة المشاريع - القطاع الصحي,E-1-C,ادارة المشاريع - القطاع الصحي,E-1-C,N-3,13
مكتب CEO,الشؤون التنظيمية والتخطيط,N/A,E-6,الشؤون التنظيمية والتخطيط,E-6,N-2,2
مكتب CEO,مكتب COO,ادارة العقود والخدمات اللوجستية,E-1-D,ادارة العقود والخدمات اللوجستية,E-1-D,N-3,114
مكتب CEO,الادارة القانونية - القطاع الصحي,N/A,E-3,الادارة القانونية - القطاع الصحي,E-3,N-2,10
مكتب CEO,N/A,N/A,E,مكتب CEO,E,N-1,6
مكتب CEO,مكتب CMO,N/A,E-2,مكتب CMO,E-2,N-2,12
مكتب CEO,مكتب COO,ادارة الاسره - Bed Management,E-1-E,ادارة الاسره - Bed Management,E-1-E,N-3,192
مكتب CEO,ادارة التفتيش و المتابعة,N/A,E-5,ادارة التفتيش و المتابعة,E-5,N-2,57
مكتب CEO,مكتب COO - مكتب CMO,جميع مستشفيات القطاع الصحي,E-1-H E-2-A,جميع مستشفيات القطاع الصحي,E-1-H E-2-A,N-3,0
مكتب الوزير,N/A,N/A,A,مكتب الوزير,A,N-1,194
مكتب الوزير,وكالة شؤون المشاريع,N/A,A-6,وكالة شؤون المشاريع,A-6,N-2,12
مكتب الوزير,وكالة الشؤون الفنية,N/A,A-5,وكالة الشؤون الفنية,A-5,N-2,1126
مكتب رئيس الجهاز العسكري,هيئة التعليم والتدريب,N/A,B-3,هيئة التعليم والتدريب,B-3,N-2,304
مكتب CEO,ادارة العلاقات العامة والاعلام - القطاع الصحي,N/A,E-4,ادارة العلاقات العامة والاعلام - القطاع الصحي,E-4,N-2,100
مكتب CEO,موسوعة الملك عبدالله العربية للمحتوى الصحي,N/A,E-8,موسوعة الملك عبدالله العربية للمحتوى الصحي,E-8,N-2,0
مكتب CEO,مركز الملك عبدالعزيز لامراض وجراحة القلب,N/A,E-7,مركز الملك عبدالعزيز لامراض وجراحة القلب,E-7,N-2,0
مكتب وكيل الوزارة,N/A,N/A,D,مكتب وكيل الوزارة,D,N-1,26
مكتب وكيل الوزارة,خدمات الدعم المؤسسي,الإدارة العامة للمناقصات والعقود,D-1-A,الإدارة العامة للمناقصات والعقود,D-1-A,N-3,23
مكتب وكيل الوزارة,خدمات الدعم المؤسسي,N/A,D-1,خدمات الدعم المؤسسي,D-1,N-2,8
مكتب رئيس الجهاز العسكري,N/A,N/A,B,مكتب رئيس الجهاز العسكري,B,N-1,62
مكتب رئيس الجهاز العسكري,هيئة العمليات,N/A,B-1,هيئة العمليات,B-1,N-2,867
مكتب رئيس الجهاز العسكري,قيادة المدفعية والدفاع الجوي,N/A,B-13,قيادة المدفعية والدفاع الجوي,B-13,N-2,72
مكتب رئيس الجهاز العسكري,قيادة الطب العسكري الميداني,N/A,B-14,قيادة الطب العسكري الميداني,B-14,N-2,518
مكتب رئيس الجهاز العسكري,مدارس الحرس الوطني العسكرية,N/A,B-15,مدارس الحرس الوطني العسكرية,B-15,N-2,3347
مكتب رئيس الجهاز العسكري,هيئة التعليم والتدريب,قاعدة اسناد التدريب والعقيدة العسكرية,B-3-A,قاعدة اسناد التدريب والعقيدة العسكرية,B-3-A,N-3,1123
مكتب رئيس الجهاز العسكري,كتيبة هندسة القتال الأولى,N/A,B-16,كتيبة هندسة القتال الأولى,B-16,N-2,735
مكتب رئيس الجهاز العسكري,هيئة الاستخبارات,N/A,B-2,هيئة الاستخبارات,B-2,N-2,351
مكتب رئيس الجهاز العسكري,هيئة الطيران,N/A,B-6,هيئة الطيران,B-6,N-2,378
مكتب وكيل الوزارة,خدمات الدعم المؤسسي,الإدارة العامة للميزانية,D-1-C,الإدارة العامة للميزانية,D-1-C,N-3,130
مكتب نائب الوزير,الإدارة العامة للأراضي والممتلكات,N/A,C-1,الإدارة العامة للأراضي والممتلكات,C-1,N-2,37
مكتب رئيس الجهاز العسكري,هيئة الإمداد والتموين,الإدارة العامة للأسلحة والذخيرة,B-4-D,الإدارة العامة للأسلحة والذخيرة,B-4-D,N-3,1393
مكتب رئيس الجهاز العسكري,هيئة الإمداد والتموين,قاعدة الإمداد والتموين في القطاع الغربي,B-4-C,قاعدة الإمداد والتموين في القطاع الغربي,B-4-C,N-3,82
مكتب رئيس الجهاز العسكري,هيئة الإمداد والتموين,قاعدة الإمداد والتموين بالقطاع الشرقي,B-4-B,قاعدة الإمداد والتموين بالقطاع الشرقي,B-4-B,N-3,60
مكتب رئيس الجهاز العسكري,هيئة الإمداد والتموين,قاعدة الامداد والتموين في الرياض,B-4-A,قاعدة الامداد والتموين في الرياض,B-4-A,N-3,1932
