ID,InitiativesID,Name,Predecessors
21,SO.3.8,بناء إطار عمل لتوحيد تطوير الإجراءات وإدارتها,3
58,SO.3.20,إطار عمل لتطوير السياسات المؤسسية ذات الأولوية,"3,1246"
95,SO.3.12,تطوير وتحديث العمليات وإجراءات العمل الموحدة لديوان الوزارة,"9,21"
130,SO.1.17,تطوير دليل السياسات والاجراءات للشؤون الهندسية والمرافق ونقل المعرفة,"15,21"
165,SO.3.28,تنفيذ سياسات الحرس الوطني,"9,58"
193,SO.3.34,تطوير وتنفيذ سياسات إدارة المالية والميزانية,"15,21,58,1292"
232,SO.1.15,وضع السياسات اللازمة لتحقيق أهداف الموارد البشرية,"15,21,58,1292"
306,SO.1.93.1,إنشاء برامج تدريبية و تعليمية لمنسوبي الوزارة,282
346,SO.1.93.2,تفعيل برنامج تمكين القيادي,282
380,SO.1.94,تصميم وتفعيل برنامج الإيفاد,282
406,SO.1.22,بناء وتعزيز رأس المال البشري للأمن السيبراني وتعيين الموظفين وتحسين مهاراتهم والاحتفاظ بهم,"282,3619"
449,SO.1.20,تحسين المهارات المتعلقة بتقنية المعلومات والاتصالات لمنسوبي الوزارة (التوظيف / التدريب),"294,406,3168"
527,SO.1.5,وضع خطة التوظيف بناء على تقييم القدرات الحالية,503
584,SO.3.100,تحديد و تفعيل القدرات الوظيفية للقوة البشرية ذات الأهمية العالية لوزارة الحرس الوطني,503
630,SO.1.4,بناء وتفعيل خطة استقطاب المواهب,"503,542"
676,SO.1.57,تحديد المسارات الوظيفية لموظفي الجهاز العسكري وديوان الوزارة,"503,542"
713,SO.3.21,تفعيل إدارة الأداء,"21,58,509"
759,SO.1.9,تحديد وتنفيذ إطار عمل التقييم وإدارة المواهب,"515,713"
812,SO.1.58,برنامج الحياة بعد التقاعد,"521,759"
882,SO.3.157,تفعيل استراتيجية التواصل الداخلي وتطوير خطة الانتقال للشعار المستهدف لوزارة الحرس الوطني,858
928,SO.3.153,بناء منصة تواصل داخلية للوزارة,858
960,SO.1.11,تطوير قدرات إدارة الإعلام,"21,858"
1029,SO.C.1.1,تنفيذ المرحلة الأولى من خطط التغيير,999
1059,SO.C.2,شبكة التغيير والحوافز - المرحلة الأولى,999
1087,SO.C.1.2,تنفيذ المرحلة الثانية من خطط التغيير,"1005,1029"
1117,SO.C.2.2,شبكة التغيير والحوافز - المرحلة الثانية,"1017,1059"
1147,SO.C.1.3,تنفيذ المرحلة الثالثة من خطط التغيير,"1023,1087"
1209,SO.3.19,بناء الخطط السنوية للإدارات الاساسية,1179
1246,SO.3.7,تطوير السياسات والإنظمة الرئيسية لتفعيل النموذج التشغيلي المستهدف,1179
1292,SO.3.6,دعم تفعيل أنشطة تكامل عناصر النموذج التشغيلي لجميع وظائف الوزارة,"21,1179"
1368,SO.5.7,بناء برامج توطين القدرات,1344
1410,SO.5.4,تطوير خطة استدامة طويلة المدى,1344
1443,SO.5.5,بناء شراكات فعالة مع الموردين والمصنعين,"1344,1410"
