Deliverable_ID#,InitiativeID#,MSP_Celiverable,Deliverable,Combine,Dependancies,Dependancies_Initiative,Duration_Wks,Cluster,Wave,Dependences_ID,Dependences_Deliverable,if,TotalDuration,Dependence_Name,Dependence_Year,Dependence_Group,Dependence_Group2,Deliverable Count,Equal Deliverable Cost,Deliverable Type
3,SO.1.1,SO.1.1.C_ 1,دراسة الوضع الراهن للبنية التحتية اللوجستية في وزارة الحرس الوطني ,SO.1.1_دراسة الوضع الراهن للبنية التحتية اللوجستية في وزارة الحرس الوطني ,SO.3.115_اطار ترتيب أولويات المرافق,SO.3.115,2,تطوير البنية التحتية,الحزمة الثانية,65,64,64,8,تطوير إطار عمل تحديد الأولويات للمرافق,0,4,Seven or less,4,600000,Project
231,SO.1.1,SO.1.1.C_ 2,دراسة الجدوى لتحديث وشراء البنية التحتية اللوجستية في وزارة الحرس الوطني,SO.1.1_دراسة الجدوى لتحديث وشراء البنية التحتية اللوجستية في وزارة الحرس الوطني,SO.3.18_استراتيجية سلسلة الإمداد,SO.3.18,2,تطوير البنية التحتية,الحزمة الثانية,89,316,316,8,تطوير استراتيجية لسلاسل الإمداد,0,4,Seven or less,4,600000,Project
459,SO.1.1,SO.1.1.C_ 3,التصميم المستهدف للبنية التحتية اللوجستية لوزارة الحرس الوطني ,SO.1.1_التصميم المستهدف للبنية التحتية اللوجستية لوزارة الحرس الوطني ,رقم المبادرة كاملا_المخرج المرتبط,رقم المبادرة كاملا,2,تطوير البنية التحتية,الحزمة الثانية,3000,339,339,8,0,NA,0,Two or less,4,600000,Project
687,SO.1.1,SO.1.1.C_ 4,خطة لتحديث واستحواذ البنية التحتية اللوجستية لوزارة الحرس الوطني ,SO.1.1_خطة لتحديث واستحواذ البنية التحتية اللوجستية لوزارة الحرس الوطني ,رقم المبادرة كاملا_المخرج المرتبط,رقم المبادرة كاملا,2,تطوير البنية التحتية,الحزمة الثانية,3000,339,339,8,0,NA,0,Two or less,4,600000,Project
4,SO.1.10,SO.1.10.C_ 1,سجل لأصول البنية التحتية في الوزارة,SO.1.10_سجل لأصول البنية التحتية في الوزارة,SO.1.18_إطار عمل إدارة الأصول والمحافظ,SO.1.18,10,تطوير البنية التحتية,الحزمة الثانية,10,10,10,32,تحسين القدرات المتعلقة بإدارة الأصول والمحافظ,5,2,Two or less,3,3200000,Project
232,SO.1.10,SO.1.10.C_ 2,"تقرير تقييم الأصول","SO.1.10_تقرير تقييم الأصول",SO.1.18_تفعيل أدوات إدارة الأصول,SO.1.18,11,تطوير البنية التحتية,الحزمة الثانية,10,238,238,32,تحسين القدرات المتعلقة بإدارة الأصول والمحافظ,5,2,Two or less,3,3200000,Project
460,SO.1.10,SO.1.10.C_ 3,"تقرير معدل استخدام الأصول","SO.1.10_تقرير معدل استخدام الأصول",رقم المبادرة كاملا_المخرج المرتبط,رقم المبادرة كاملا,11,تطوير البنية التحتية,الحزمة الثانية,3000,339,339,32,0,NA,0,Two or less,3,3200000,Project
5,SO.1.11,SO.1.11.C_ 1,تطوير إجراءات خاصة بمراجعة المحتوى,SO.1.11_تطوير إجراءات خاصة بمراجعة المحتوى,SO.3.8_إطار عمل لتطوير الإجراءات,SO.3.8,5,بناء السياسات والإجراءات,الحزمة الثانية,132,132,132,12,بناء إطار عمل لتوحيد تطوير الإجراءات وإدارتها,0,18,More than Seven,3,600000,Project
233,SO.1.11,SO.1.11.C_ 2,وضع أليات لتطوير المحتوى والرسائل لوزارة الحرس الوطني,SO.1.11_وضع أليات لتطوير المحتوى والرسائل لوزارة الحرس الوطني,رقم المبادرة كاملا_المخرج المرتبط,رقم المبادرة كاملا,4,بناء السياسات والإجراءات,الحزمة الثانية,3000,339,339,12,0,NA,0,Two or less,3,600000,Project
461,SO.1.11,SO.1.11.C_ 3,نقل المعرفة,SO.1.11_نقل المعرفة,رقم المبادرة كاملا_المخرج المرتبط,رقم المبادرة كاملا,3,تقديم التدريب ودعم المواهب,الحزمة الثانية,3000,339,339,12,0,NA,0,Two or less,3,600000,Project
6,SO.1.12,SO.1.12.C_ 1,القدرات التحليلية,SO.1.12_القدرات التحليلية,SO.2.7_الإيجازات والتقارير الهامة,SO.2.7,24,تفعيل التقنية والابتكار الرقمي,الحزمة الثالثة,49,49,49,24,دعم تفعيل التحليل الاستراتيجي,4,2,Two or less,1,3600000,Project
7,SO.1.13,SO.1.13.C_ 1,"تطوير سياسات وإجراءات التخطيط الوظيفي وتخطيط الميزانية","SO.1.13_تطوير سياسات وإجراءات التخطيط الوظيفي وتخطيط الميزانية",SO.3.8_إطار عمل لتطوير الإجراءات,SO.3.8,3,بناء السياسات والإجراءات,الحزمة الثانية,132,132,132,12,بناء إطار عمل لتوحيد تطوير الإجراءات وإدارتها,0,18,More than Seven,3,600000,Project
235,SO.1.13,SO.1.13.C_ 2,تطوير آليات العمل والنماذج الخاصة بالتخطيط الوظيفي وتخطيط الميزانية,SO.1.13_تطوير آليات العمل والنماذج الخاصة بالتخطيط الوظيفي وتخطيط الميزانية,SO.3.10_إجراءات تفصيل دورة الميزانية,SO.3.10,5,بناء السياسات والإجراءات,الحزمة الثانية,2738,2738,2738,12,تفصيل دورة الميزانية على المستوى التشغيلي,1,3,Seven or less,3,600000,Project
