Id,Pfunction,Function,Mandate,Function Objective,Function KPIs,Resource,المخرجات,Processes,Gov
1,الـوزيـــر,الـوزيـــر,"تُعدّ وزارة الحرس الوطني جهة تابعة للقوات المسلحة تساهم في الحفاظ على الأمن الوطني ومصالح المملكة والنهوض بها، حيث تحافظ الوزارة على مستوى عالٍ من الجاهزية على مستوى جميع قواتها، ما يضمن القدرة على تنفيذ العمليات القتالية والأمنية بالتنسيق مع الشركاء الوطنيين والدوليين الآخرين، ويتطلب تنفيذ المهمّة الرئيسية للوزارة توفّر قدرات دائمة، إذ يجب تعيين القوات وتدريبها وتجهيزها وإعدادها لتحمل واجبات المهام أو أن تكون متاحة للظروف الطارئة.",,,10494,,"حيث يتم وضع الخطط والسياسات والمبادئ التوجيهية من المستوى الاستراتيجي
إسداء المشورة الاستراتيجية للقيادة الوطنية
مسؤول عن تحديد أولويات مهام الدفاع والأمن
وضع الخطط الاستراتيجية
مسؤول عن جاهزية القوات وتطوير القدرات المشتركة والاستحواذ عليها","لجنة وزارة الحرس الوطني لجنة الإلتزامات والتعاون مجلس وزارة الحرس الوطني
لجنة  الموارد البشرية
لجنة الاستثمار والتسليح
لجنة الضباط العليا
لجنة المراجعة الداخلية وتأكيد المخاطر"
1,الـوزيـــر,مكتب الوزير,ضمان الجودة للوزير بحيث يتلقى المعلومات الملائمة والضرورية في الوقت المناسب لإثراء عملية صنع القرار والسماح له بتمثيل وزارة الحرس الوطني على مستوى المنظومة,,,79,,"المسؤوليات الأساسية
التأكد من أن المشورة المقدمة للوزير دقيقة وشاملة، من خلال تزويد مستشاري الوزير بأي مستندات أو مدخلات ضرورية، أو من خلال تنسيق مواد الإحاطة اللازمة من الأركان الأخرى
الإشراف على السجل اليومي للوزير، واجتماعاته، وسير العمل، والتأكد من تنفيذه وفقا للجدول
الاحتفاظ بسجلات / مذكرات اجتماعات القيادة والمحادثات التجارية
التأكد من وجود الترتيبات اللوجستية والترتيبات الخاصة بالمناسبات التي يحضرها الوزير
التأكد من إيصال قرارات أو توجيهات الوزير بشكل واضح وفي الوقت المناسب إلى أصحاب المصلحة الداخليين والخارجيين
إدارة الاتصالات الواردة / الصادرة من الوزير وإليه
متابعة تنفيذ قرارات القيادة والتأكد من التنفيذ المناسب
تزويد الوزير بآخر المستجدات حول الشراكات والتواصل
مسؤوليات ممكنة
العمل كنقطة اتصال واحدة بين الوزير والمكتب ما لم يطلب الوزير المستشارين
 إدارة أعباء العمل والطلبات بين أقسام المكتب والأقسام الفرعية والأركان
التأكد من تدفق المعلومات صعودا إلى الوزير ونزولا إلى أركان المكتب
 تزويد الوزير بالرؤية الأكثر شمولا من خلال دمج جميع المعلومات المطلوبة وذات الصلة لتسهيل اتخاذ القرار الفاعل",
1,الـوزيـــر,إدارة الإعلام,تعزيز سمعة وزارة الحرس الوطني وطنيا ودوليا من خلال حملات وفعاليات تشمل تحليل التصور العام عن الوزارة  ,,,70,,"الأساسية
توجيه عملية إعداد استراتيجية وسياسات الحملات والاخبار والفعاليات بوزارة الحرس الوطني
متابعة وتعزيز سمعة وزارة الحرس الوطني على الصعيدين الوطني والدولي
ضمان تقديم منتجات تواصل عالية الجودة (الخطابات، والحملات، والموجزات الإعلامية، ومحتوى الموقع)
تخطيط وتقديم حملات إعلامية
إنشاء وإدارة المحتوى المباشر لجميع الأنشطة الإعلامية
الإشراف على إدارة وسائل التواصل الاجتماعي للترويج لوزارة الحرس الوطني على الصعيدين الوطني والدولي
التمكينية
تقديم دعم مؤثر للتواصل من أجل تحقيق أهداف التواصل الدفاعي الوطني
توفير التوجيه لجميع أنشطة التواصل في وزارة الحرس الوطني (الحملات والمؤتمرات والتفاعل الإعلامي وغير ذلك)",
1,الـوزيـــر,الإدارة العامة للمراجعة الداخلية,"تقديم خدمات التأكيد المتكاملة لوزارة الحرس الوطني ويتضمن ذلك توحيد المخاطر الرئيسية التي تواجه الوزارة وخطط التخفيف من آثارها، وتقديم خدمات التأكيد والرقابة المستقلة. ",,,116,,"إدارة المخاطر: تنفيذ إطار إدارة المخاطر – رصد ومتابعة ومراجعة كل من مؤشرات المخاطر الرئيسية وسجل المخاطر وخطط معالجة المخاطر والتخفيف من آثارها.
المراجعة الداخلية: تخطيط مهام المراجعة الفردية وتنفيذها وتقييمها، ويشمل ذلك المراجعات المرتبطة بالإستراتيجية والسياسات الإستراتيجية والاستحواذ والمشتريات والشؤون المالية والموارد البشرية والمشاريع والمنشآت والبنية التحتية وتقنية المعلومات وإدارة البيانات والأمن السيبراني والشؤون الصحية والتعليمية والمراجعات المتخصصة. تشمل على الزيارات التفتشية الاستباقية وإدارة البلاغات والتحقيقات والأدلة الجنائية الرقمية. تخطيط وتنفيذ وتقييم الالتزام التنظيمي ومكتبة الأنظمة واللوائح في وزارة الحرس الوطني.
التفتيش: تخطيط مهام التفتيش الفردي وتنفيذه وتقييمه، وعادة يركز التفتيش على إدارات الشؤون العسكرية.",
1,الـوزيـــر,الإدارة العامة للشؤون القانونية,"ضمان المشورة القانونية والامتثال من جانب وزارة الحرس الوطني، والدعم التنظيمي، وتقديم المشورة بشأن قانون العمليات العسكرية، وتسهيل الوثائق القانونية وخدمات التقاضي لمنع المخاطر القانونية وحماية وزارة الحرس الوطني",,,66,,"أساسي
توجيه أنشطة الوظيفة القانونية وأهدافها في ضمان منع المخاطر القانونية وحماية المنظمة
توجيه ترجمة القوانين الوطنية والدولية والعسكرية إلى قوانين تشغيلية خاصة بوزارة الحرس الوطني وتحديثها وفقا للتغييرات الإطارية المنتظمة
توجيه الوظيفة القانونية من خلال تطوير سياسة الوظائف والخطة السنوية
توجيه الوظيفة من خلال تحديد أهداف ومقاييس الأداء، والمبادئ التوجيهية لعمليات الوظيفة وأنشطتها 
تقديم المشورة والآراء القانونية الدقيقة وفي الوقت المناسب لقيادة المنظمة ووظائفها

التمكين
المشاركة في لجان المنظمة (وفقا للتوجيهات) لتقديم المشورة القانونية والتأكد من أن قرارات اللجنة 
متوافقة قانونيا
مراقبة وضمان امتثال المنظمة والحفاظ على القوانين واللوائح
التأكد من أن عقود واتفاقيات المنظمة بين الوزارة وأي طرف خارجي متوافقة قانونا
المناصرة والتمثيل في الشؤون القانونية الوطنية والدولية
ضمان الوعي القانوني المناسب في المنظمة من خلال توفير ورش العمل والندوات التعليمية
المشاركة والدعوة نيابة عن المنظمة في التشريعات والقضايا القانونية أمام المحاكم والكيانات الأخرى ذات الصلة بالعدالة",
1,الـوزيـــر,الإدارة العامة للتحقيق والادعاء العسكري,سيتم تحديثه لاحقا,,,0,,سيتم تحديثه لاحقا,
1,الـوزيـــر,إدارة الاستئناف العسكري, سيتم تحديثه لاحقا,,,0,,سيتم تحديثه لاحقا,
1,الـوزيـــر,رئاسة الجهاز العسكري,"تتمثل مهمة مكتب رئيس الجهاز العسكري في تنفيذ توجيهات رئيس الجهاز العسكري، والإشراف على وظائف مكتب رئيس الجهاز العسكري، وتلقي ومعالجة التوجيهات والطلبات الواردة إلى رئيس الجهاز العسكري.",,,5842,,"المسؤوليات الأساسية
تقديم الخدمات الإدارية للقائد بما في ذلك إدارة المراسلات وتنظيم المستندات والتأكد من تلبية المنتجات الصادرة من المكتب لأعلى المعايير المهنية
تقديم خدمات جدول الأعمال
العمل على المشاريع والمبادرات الخاصة اللازمة لإسناد مهام القائد
إتاحة المجال للقائد لتطوير أفكاره وتبادل الأفكار والرؤى حول الحلول
تحضير القائد عند حضور أي اجتماعات أو الظهور في أي فاعليات من خلال تجميع الأبحاث وإعداد الاتصالات وتنسيق الحضور
تسهيل المهام اليومية التي تتراوح بين قدرات الاتصال وخدمات النقل ومتطلبات الترجمة",
1,الـوزيـــر,الإدارة العامة للحوكمة والمخاطر والالتزام,"تقديم المشورة لقيادة وزارة الحرس الوطني بشأن ضمان الإمتثال على مستوى الوزارة بشكل استباقي لجميع الجوانب المتعلقة بإدارة المخاطر، وإدارة البيانات، والأمن السيبراني",,,134,,"الرئيسية
توجيه إشراف الإدارة على إدارة البيانات والمخاطر والإلتزام والأمن السيبراني من خلال دعم موظفي ادارة الحوكمة والمخاطر و الإمتثال.
الإشراف على التدريب والمكافآت الممنوحة للقوى العاملة في قسم الحوكمة والمخاطر والإلتزام.
تقديم التوجيه في مسائل السياسة والإلتزام.
الإشراف على التخطيط الاستراتيجي والتوجهات والأولويات لاستخدامها في تحسين القرارات وتركيز الجهود
تمكين:
الإشراف على تكييف معايير متسقة للبيانات والمخاطر والأمن السيبراني لوزارة الحرس الوطني.
ضمان الامتثال للسياسات والعمليات والمعايير.",
1,الـوزيـــر,مكتب إدارة المشاريع المؤسسي,"تنفيذ منهجية موحدة لإدارة المحافظ المؤسسية بالوزارة، من خلال إنشاء نموذج حوكمة ومراقبة الأداء، وتمكين اتخاذ القرارات التنفيذية القائمة على البيانات، وتقليل المخاطر لضمان توافق أولويات المحفظة مع استراتيجية وزارة الحرس الوطني",,,11,,"المسؤولية الكاملة عن تقديم المزايا والقدرات المحددة في محفظة الوزارة 
جهة الاتصال والتنسيق الرئيسية للمشاركات الخارجية العليا في المسائل المتعلقة بالمحفظة.
جهة الاتصال والتنسيق في الإدارة العليا لمكتب إدارة المشاريع المؤسسي في عدة لجان ومجالس إدارة وفي الاجتماعات المخصصة التي تشارك فيها
تحديد مخرجات عملية مراجعة المراحل",
