Id,name,pname,pnum,Color
1,الـوزيـــر,,,1
2,إدارة الإعلام,الـوزيـــر,1,1
3,الإدارة العامة للمراجعة الداخلية,الـوزيـــر,1,1
4,الإدارة العامة للشؤون القانونية,الـوزيـــر,1,1
5,الإدارة العامة للتحقيق والادعاء العسكري,الـوزيـــر,1,1
6,إدارة الاستئناف العسكري,الـوزيـــر,1,1
7,مكتب الوزير,الـوزيـــر,1,1
8,الإدارة العامة للحوكمة والمخاطر والالتزام,الـوزيـــر,1,1
9,مكتب إدارة المشاريع المؤسسي,الـوزيـــر,1,1
10,الشؤون التنفيذية,الـوزيـــر,1,1
11,الشؤون الصحية,الـوزيـــر,1,1
12,رئاسة الجهاز العسكري,الـوزيـــر,1,1
13,التحليل الإستراتيجي,مكتب الوزير,7,1
14,وكالة الشؤون الدينية,الشؤون التنفيذية,10,1
15,وكالة الشؤون الهندسية والمرافق,الشؤون التنفيذية,10,1
16,وكالة خدمات الدعم المؤسسي,الشؤون التنفيذية,10,1
17,وكالة الخدمات الرقمية والتقنية,الشؤون التنفيذية,10,1
18,وكالة المشتريات والتسليح,الشؤون التنفيذية,10,1
19,وكالة الشؤون الاستراتيجية والسياسات,الشؤون التنفيذية,10,1
20,صحة المستفيدين,الشؤون الصحية,11,1
21,التميز والجودة السريرية,الشؤون الصحية,11,1
22,الشؤون الطبية,الشؤون الصحية,11,1
23,التشغيل,الشؤون الصحية,11,1
24,الجامعة والأبحاث,الشؤون الصحية,11,1
25,نائب رئيس الجهاز العسكري,الجهاز العسكري,12,1
26,ديوان المحاكمات العسكرية,الجهاز العسكري,12,1
27,هيئة القوى البشرية,الجهاز العسكري,12,1
28,هيئة الاستخبارات,الجهاز العسكري,12,1
29,هيئة العمليات,الجهاز العسكري,12,1
30,هيئة الإمداد والتموين,الجهاز العسكري,12,1
31,هيئة الخطط,الجهاز العسكري,12,1
32,هيئة الاتصالات,الجهاز العسكري,12,1
33,هيئة التعليم والتدريب,الجهاز العسكري,12,1
34,قيادة التدريب والعقيدة,الجهاز العسكري,12,1
35,قيادة المناورة,الجهاز العسكري,12,1
36,قيادة إسناد القتال,الجهاز العسكري,12,1
37,قيادة خدمات إسناد القتال,الجهاز العسكري,12,1
38,كلية الملك عبدالله للقيادة والأركان,الجهاز العسكري,12,1
39,كلية الملك خالد العسكرية,الجهاز العسكري,12,1
40,إدارة تكامل القدرات,الجهاز العسكري,12,1
41,قيادة الأفواج,الجهاز العسكري,12,1
42,القيادة الوسطى,الجهاز العسكري,12,1
43,القيادة الشرقية,الجهاز العسكري,12,1
44,القيادة الغربية,الجهاز العسكري,12,1
45,الإدارة العامة للشؤون الدينية,وكالة الشؤون الدينية,14,1
46,إدارة دعم الشؤون الدينية في القطاعات ,وكالة الشؤون الدينية,14,1
47,إدارة الأراضي والممتلكات,وكالة الشؤون الهندسية والمرافق,15,1
48,الإدارة العامة للتخطيط والبرامج,وكالة الشؤون الهندسية والمرافق,15,1
49,الإدارة العامة للمشاريع,وكالة الشؤون الهندسية والمرافق,15,1
50,الإدارة العامة للتشغيل والصيانة,وكالة الشؤون الهندسية والمرافق,15,1
51,الإدارة العامة للموارد البشرية,وكالة خدمات الدعم المؤسسي,16,1
52,الإدارة العامة للمالية,وكالة خدمات الدعم المؤسسي,16,1
53,إدارة المشتريات العامة,وكالة خدمات الدعم المؤسسي,16,1
54,إدارة العلاقات العامة والمراسم,وكالة خدمات الدعم المؤسسي,16,1
55,الإدارة العامة للخدمات المشتركة,وكالة خدمات الدعم المؤسسي,16,1
56,إدارة الشؤون الاجتماعية والثقافية والرياضية ,وكالة خدمات الدعم المؤسسي,16,1
57,مستودعات الخدمات الإدارية,وكالة خدمات الدعم المؤسسي,16,1
58,إدارة التخطيط والبرامج والأداء,وكالة الخدمات الرقمية والتقنية,17,1
59,إدارة الابتكارات الرقمية,وكالة الخدمات الرقمية والتقنية,17,1
60,إدارة البنية المؤسسية والمعايير,وكالة الخدمات الرقمية والتقنية,17,1
61,إدارة تطوير التطبيقات,وكالة الخدمات الرقمية والتقنية,17,1
62,إدارة التشغيل,وكالة الخدمات الرقمية والتقنية,17,1
63,الإدارة العامة لإسناد المشتريات والتسليح,وكالة المشتريات والتسليح,18,1
64,الإدارة العامة لبرامج المشتريات والتسليح,وكالة المشتريات والتسليح,18,1
65,إدارة تخطيط المشتريات والتسليح,وكالة المشتريات والتسليح,18,1
66,الإدارة العامة للتخطيط استراتيجي,وكالة الشؤون الاستراتيجية والسياسات,19,1
67,الإدارة العامة للسياسات,وكالة الشؤون الاستراتيجية والسياسات,19,1
68,الإدارة العامة لإدارة الأداء ,وكالة الشؤون الاستراتيجية والسياسات,19,1
69,نائب الـوزيـــر,الـوزيـــر,1,1
,,,,
,,,,
,,,,
