InitiativeID#,Source,program,Portfolio,title,owner,Nature on Impact,Sector,Impacted BU,Impact Justification,Culture,Skills,Skills Description,Org Design,Org Design Description,Technology,Technology Description,Processes,Processes Description,OverAll Impact,Risk ,Risk mitigetion 
SO.1.1,CapDev,برنامج تطوير الخدمات اللوجستية,المحفظة العسكرية,تطوير البنية التحتية للخدمات اللوجستية,تطوير القوات والقدرات,مباشر,القطاع العسكري,تطوير القوات والقدرات,بحكم تخصص الادارة في تطوير القدرات فستكون مسؤولة بشكل مباشر عن تنفيذ المبادرة,0.25,0.3,تعزيز/تطوير مهارات حالية,0,N/A,0,N/A,0.2,تعزيز/اعادة تكييف التعاون مع الشركاء من خارج الادارة/المنظمة(قطاعات اخرى داخل المنظمة),0.15,تاثر الخدمات اللوجستية من الانقطاع او التعطل الجزئي اثناء تطبيق التطوير والصيانة - مقاومة التغيير من قواعد الامداد,التاكد من تنسيق التغييرات والتحدثيات بشكل يضمن عدم انقطاع الخدمه - اشراك قواعد الامداد بشكل امثل لتجنب المقاومة في مراحل متقدمه من تقييم وبناء الخطط الجديدة لضمان التأييد وتحقيق التوافق
SO.1.1,CapDev,برنامج تطوير الخدمات اللوجستية,المحفظة العسكرية,تطوير البنية التحتية للخدمات اللوجستية,تطوير القوات والقدرات,مباشر,القطاع العسكري,هيئة الامداد والتموين,بحكم تخصص الادارة في الخدمات اللوجستية للقطاع العسكري,0.7,0.5,تعزيز/تطوير مهارات حالية,0,N/A,0,N/A,0.7,اعادة تقييم/هيكلة عمليات اتخاذ القرار - تحسين تنفيذ/تنظيم سير العمل - تعزيز/اعادة تكييف التعاون مع الشركاء من خارج الادارة/المنظمة(قطاعات اخرى داخل المنظمة),0.38,تاثر الخدمات اللوجستية من الانقطاع او التعطل الجزئي اثناء تطبيق التطوير والصيانة - مقاومة التغيير من قواعد الامداد,التاكد من تنسيق التغييرات والتحدثيات بشكل يضمن عدم انقطاع الخدمه - اشراك قواعد الامداد بشكل امثل لتجنب المقاومة في مراحل متقدمه من تقييم وبناء الخطط الجديدة لضمان التأييد وتحقيق التوافق
SO.1.1,CapDev,برنامج تطوير الخدمات اللوجستية,المحفظة العسكرية,تطوير البنية التحتية للخدمات اللوجستية,تطوير القوات والقدرات,مباشر,القطاع العسكري,قاعدة الإمداد والتموين في القطاع الغربي,المسؤولة عن تقديم خدمات الدعم اللوجستي في القطاع الغربي,0.5,0.5,تعزيز/تطوير مهارات حالية,0,N/A,0,N/A,0.65,اعادة تقييم/هيكلة عمليات اتخاذ القرار - تحسين تنفيذ/تنظيم سير العمل - تعزيز/اعادة تكييف التعاون مع الشركاء من خارج الادارة/المنظمة(قطاعات اخرى داخل المنظمة),0.33,تاثر الخدمات اللوجستية من الانقطاع او التعطل الجزئي اثناء تطبيق التطوير والصيانة - مقاومة التغيير من قواعد الامداد,التاكد من تنسيق التغييرات والتحدثيات بشكل يضمن عدم انقطاع الخدمه - اشراك قواعد الامداد بشكل امثل لتجنب المقاومة في مراحل متقدمه من تقييم وبناء الخطط الجديدة لضمان التأييد وتحقيق التوافق
SO.1.1,CapDev,برنامج تطوير الخدمات اللوجستية,المحفظة العسكرية,تطوير البنية التحتية للخدمات اللوجستية,تطوير القوات والقدرات,مباشر,القطاع العسكري,قاعدة الإمداد والتموين بالقطاع الشرقي,المسؤولة عن تقديم خدمات الدعم اللوجستي في القطاع الشرقي,0.5,0.5,تعزيز/تطوير مهارات حالية,0,N/A,0,N/A,0.65,اعادة تقييم/هيكلة عمليات اتخاذ القرار - تحسين تنفيذ/تنظيم سير العمل - تعزيز/اعادة تكييف التعاون مع الشركاء من خارج الادارة/المنظمة(قطاعات اخرى داخل المنظمة),0.33,تاثر الخدمات اللوجستية من الانقطاع او التعطل الجزئي اثناء تطبيق التطوير والصيانة - مقاومة التغيير من قواعد الامداد,التاكد من تنسيق التغييرات والتحدثيات بشكل يضمن عدم انقطاع الخدمه - اشراك قواعد الامداد بشكل امثل لتجنب المقاومة في مراحل متقدمه من تقييم وبناء الخطط الجديدة لضمان التأييد وتحقيق التوافق
SO.1.1,CapDev,برنامج تطوير الخدمات اللوجستية,المحفظة العسكرية,تطوير البنية التحتية للخدمات اللوجستية,تطوير القوات والقدرات,مباشر,القطاع العسكري,قاعدة الامداد والتموين في الرياض,المسؤولة عن تقديم خدمات الدعم اللوجستي في القطاع الاوسط,0.5,0.5,تعزيز/تطوير مهارات حالية,0,N/A,0,N/A,0.65,اعادة تقييم/هيكلة عمليات اتخاذ القرار - تحسين تنفيذ/تنظيم سير العمل - تعزيز/اعادة تكييف التعاون مع الشركاء من خارج الادارة/المنظمة(قطاعات اخرى داخل المنظمة),0.33,تاثر الخدمات اللوجستية من الانقطاع او التعطل الجزئي اثناء تطبيق التطوير والصيانة - مقاومة التغيير من قواعد الامداد,التاكد من تنسيق التغييرات والتحدثيات بشكل يضمن عدم انقطاع الخدمه - اشراك قواعد الامداد بشكل امثل لتجنب المقاومة في مراحل متقدمه من تقييم وبناء الخطط الجديدة لضمان التأييد وتحقيق التوافق
SO.1.1,CapDev,برنامج تطوير الخدمات اللوجستية,المحفظة العسكرية,تطوير البنية التحتية للخدمات اللوجستية,تطوير القوات والقدرات,غير مباشر,القطاع العسكري,مكتب رئيس الجهاز العسكري,لتاثير المبادرة على كامل القطاع العسكري سيكون اشراك رئيس الجهاز ونائبة مهم لضمان التوائم والدعم,0.1,0,N/A,0,N/A,0,N/A,0.15,تعزيز/اعادة تكييف التعاون مع الشركاء من خارج الادارة/المنظمة(قطاعات اخرى داخل المنظمة),0.05,تاثر الخدمات اللوجستية من الانقطاع او التعطل الجزئي اثناء تطبيق التطوير والصيانة - مقاومة التغيير من قواعد الامداد,التاكد من تنسيق التغييرات والتحدثيات بشكل يضمن عدم انقطاع الخدمه - اشراك قواعد الامداد بشكل امثل لتجنب المقاومة في مراحل متقدمه من تقييم وبناء الخطط الجديدة لضمان التأييد وتحقيق التوافق
SO.1.1,CapDev,برنامج تطوير الخدمات اللوجستية,المحفظة العسكرية,تطوير البنية التحتية للخدمات اللوجستية,تطوير القوات والقدرات,غير مباشر,القطاع العسكري,مكتب نائب رئيس الجهاز العسكري,لتاثير المبادرة على كامل القطاع العسكري سيكون اشراك رئيس الجهاز ونائبة مهم لضمان التوائم والدعم,0.1,0,N/A,0,N/A,0,N/A,0.15,تعزيز/اعادة تكييف التعاون مع الشركاء من خارج الادارة/المنظمة(قطاعات اخرى داخل المنظمة),0.05,تاثر الخدمات اللوجستية من الانقطاع او التعطل الجزئي اثناء تطبيق التطوير والصيانة - مقاومة التغيير من قواعد الامداد,التاكد من تنسيق التغييرات والتحدثيات بشكل يضمن عدم انقطاع الخدمه - اشراك قواعد الامداد بشكل امثل لتجنب المقاومة في مراحل متقدمه من تقييم وبناء الخطط الجديدة لضمان التأييد وتحقيق التوافق
SO.1.10,TOM,برنامج دراسة وتطوير البنية التحتية للشؤون التنفيذية,المحفظة التنفيذية,تقييم أصول وزارة الحرس الوطني وتطوير سجل الأصول,الشؤون الهندسية والمرافق,مباشر,الشؤون التنفيذية,الشؤون الهندسية والمرافق,الادارة مسؤولة بشكل مباشر عن تنفيذ المبادرة,0.1,0.3,تعزيز/تطوير مهارات حالية - اكتساب مهارات جديدة,0,N/A,0,N/A,0.5,تحسين تنفيذ/تنظيم سير العمل - تعزيز/اعادة تكييف التعاون مع الشركاء من خارج الادارة/المنظمة(قطاعات اخرى داخل المنظمة),0.18,"عدم القدرة على حصر جميع أصول الوزارة بشكل دقيق - عدم تفعيل إدارة الأراضي والممتلكات حيث أنه يعد من ممكنات نجاح المبادرة، وتعد الإدارة مسؤولة عن الأصول الإنشائية للوزارة",​​الحرص على تطوير منهجية للمواءمة مع جميع إدارات وزارة الحرس الوطني وقطاعاتها للحصر الدقيق لأصول الوزارة - الحرص على تفعيل إدارة الأراضي والممتلكات قبل انطلاق المبادرة​ 
SO.1.10,TOM,برنامج دراسة وتطوير البنية التحتية للشؤون التنفيذية,المحفظة التنفيذية,تقييم أصول وزارة الحرس الوطني وتطوير سجل الأصول,الشؤون الهندسية والمرافق,مباشر,الشؤون التنفيذية,وحدة تنمية الإيرادات والاستثمار,تقوم الإدارة بحصر عدد من الأصول من الناحية الاستثمارية,0.1,0.1,تعزيز/تطوير مهارات حالية,0,N/A,0,N/A,0.3,تحسين تنفيذ/تنظيم سير العمل - تعزيز/اعادة تكييف التعاون مع الشركاء من خارج الادارة/المنظمة(قطاعات اخرى داخل المنظمة),0.1,عدم القدرة على حصر جميع أصول الوزارة بشكل دقيق,​​الحرص على تطوير منهجية للمواءمة مع جميع إدارات وزارة الحرس الوطني وقطاعاتها للحصر الدقيق لأصول الوزارة​ 
SO.1.10,TOM,برنامج دراسة وتطوير البنية التحتية للشؤون التنفيذية,المحفظة التنفيذية,تقييم أصول وزارة الحرس الوطني وتطوير سجل الأصول,الشؤون الهندسية والمرافق,مباشر,الشؤون التنفيذية,الإدارة المالية,ستقوم الإدارة بتقديم القيم المالية للأصول المحصورة,0.1,0.1,تعزيز/تطوير مهارات حالية,0,N/A,0,N/A,0.3,تحسين تنفيذ/تنظيم سير العمل - تعزيز/اعادة تكييف التعاون مع الشركاء من خارج الادارة/المنظمة(قطاعات اخرى داخل المنظمة),0.1,عدم القدرة على حصر جميع أصول الوزارة بشكل دقيق,​​الحرص على تطوير منهجية للمواءمة مع جميع إدارات وزارة الحرس الوطني وقطاعاتها للحصر الدقيق لأصول الوزارة​ 
