InitiativeID#,stakeholders
SO.1.1,المشتريات والاستحواذ
SO.1.1,قيادة إسناد الامداد والتموين في وزارة الحرس الوطني
SO.1.1,هيئة الامداد والتموين
SO.1.10,أكثر من إدارة في وزارة الحرس الوطني
SO.1.10,الخدمات الرقمية والتقنية
SO.1.11,أكثر من إدارة في وزارة الحرس الوطني
SO.1.12,الخدمات الرقمية والتقنية
SO.1.13,أكثر من إدارة في وزارة الحرس الوطني
SO.1.15,الإدارة العامة للسياسات
SO.1.17,أكثر من إدارة في وزارة الحرس الوطني
SO.1.18,أكثر من إدارة في وزارة الحرس الوطني
SO.1.19,ادارة الآداء
SO.1.19,إدارة الأداء
SO.1.19,التطوير والعمليات
SO.1.19,الخدمات الرقمية والتقنية
SO.1.19,تقنية المعلومات للشؤون الصحية
SO.1.19,جهات الوزارة كاملة
SO.1.19,سلاح الاشارة
SO.1.19,سلاح الإشارة
SO.1.19,هيئة الاتصالات
SO.1.2,رئيس الجهاز العسكري
SO.1.2,شؤون الأفواج
SO.1.2,قيادات المناطق
SO.1.20,الشؤون التنفيذية
SO.1.20,الموارد البشرية
SO.1.20,الموارد البشرية – الشؤون الصحية
SO.1.20,تقنية المعلومات في الشؤون الصحية
SO.1.20,هيئة الاتصالات
SO.1.21,الخدمات الرقمية والتقنية
SO.1.22,ادارات امن المعلومات
SO.1.22,إدارة الأمن السيبراني بوزارة الحرس الوطني CISO
SO.1.23,إدارة الأمن السيبراني بوزارة الحرس الوطني
SO.1.23,الموارد البشرية والجهات المعنية بالتعليم والتدريب
SO.1.25,إدارة التدريب
SO.1.25,المدراء الاقليمين للموارد البشرية
SO.1.25,المديرين المباشرين
SO.1.26,إدارة المواهب
SO.1.26,مدير التطوير والتدريب
SO.1.27,خدمات الموظفين (المنطقة)
SO.1.27,عمليات الموارد البشرية (المنطقة)
SO.1.27,قسم تخطيط الموارد البشرية
SO.1.27,مدير خدمات الموظفين
SO.1.28,إدارة التوظيف
SO.1.28,الشؤون الإعلامية
SO.1.28,الطب العسكري الميداني
SO.1.30,التعويضات والمزايا (في المناطق)
SO.1.30,مدير التعويضات والمزايا في المقر الرئيسي
SO.1.31,خدمات الموظفين (المنطقة)
