InitiativeID,Impacted BU,Wave,OverAll Impact
SO.1.1,تطوير القوات والقدرات,الحزمة الثانية,15.000%
SO.1.1,هيئة الامداد والتموين,الحزمة الثانية,38.000%
SO.1.1,قاعدة الإمداد والتموين في القطاع الغربي,الحزمة الثانية,33.000%
SO.1.1,قاعدة الإمداد والتموين بالقطاع الشرقي,الحزمة الثانية,33.000%
SO.1.1,قاعدة الامداد والتموين في الرياض,الحزمة الثانية,33.000%
SO.1.1,مكتب رئيس الجهاز العسكري,الحزمة الثانية,5.000%
SO.1.1,مكتب نائب رئيس الجهاز العسكري,الحزمة الثانية,5.000%
SO.1.10,الشؤون الهندسية والمرافق,الحزمة الثانية,18.000%
SO.1.10,وحدة تنمية الإيرادات والاستثمار,الحزمة الثانية,10.000%
SO.1.10,الإدارة المالية,الحزمة الثانية,10.000%
SO.1.10,هيئة الإمداد والتموين,الحزمة الثانية,10.000%
SO.1.11,مركز الاتصال والإعلام,الحزمة الثانية,36.000%
SO.1.11,مكتب الوزير,الحزمة الثانية,8.000%
SO.1.12,التحليل الاستراتيجي,الحزمة الثالثة,47.000%
SO.1.12,الموارد البشرية,الحزمة الثالثة,7.000%
SO.1.12,هيئة الاستخبارات,الحزمة الثالثة,8.000%
SO.1.12,التطوير والعمليات - الخدمات الرقمية والتقنية,الحزمة الثالثة,14.000%
SO.1.12,مكتب الوزير,الحزمة الثالثة,6.000%
SO.1.13,الإدارة المالية,الحزمة الثانية,40.000%
SO.1.13,الموارد البشرية,الحزمة الثانية,40.000%
SO.1.13,مكتب وكيل الوزارة,الحزمة الثانية,8.000%
SO.1.13,ادارة السياسات,الحزمة الثانية,8.000%
SO.1.15,الموارد البشرية,الحزمة الثانية,22.000%
SO.1.15,ادارة السياسات,الحزمة الثانية,8.000%
SO.1.17,الشؤون الهندسية والمرافق,الحزمة الثالثة,22.000%
SO.1.17,الموارد البشرية,الحزمة الثالثة,8.000%
SO.1.17,ادارة السياسات,الحزمة الثالثة,9.000%
SO.1.18,الشؤون الهندسية والمرافق,الحزمة الثانية,34.000%
SO.1.18,الخدمات الرقمية والتقنية,الحزمة الثانية,26.000%
SO.1.19,التطوير والعمليات - الخدمات الرقمية والتقنية,الحزمة الأولى,50.000%
SO.1.19,استراتيجية الاتصالات وتقنية المعلومات والمحفظة والأداء - الخدمات الرقمية والتقنية,الحزمة الأولى,32.000%
SO.1.19,سلاح الاشارة,الحزمة الأولى,20.000%
SO.1.19,تقنية المعلومات في القطاع الصحي,الحزمة الأولى,20.000%
SO.1.2,قيادة الافواج,الحزمة الأولى,80.000%
SO.1.2,هيئة العمليات,الحزمة الأولى,28.000%
SO.1.2,هيئة شؤون الافراد,الحزمة الأولى,28.000%
SO.1.2,هيئة التعليم والتدريب,الحزمة الأولى,28.000%
SO.1.2,الإدارة العامة لشؤون الضباط,الحزمة الأولى,28.000%
SO.1.2,مدارس الحرس الوطني العسكرية,الحزمة الأولى,28.000%
SO.1.2,مركز تدريب الحرس الوطني في الرياض,الحزمة الأولى,28.000%
SO.1.2,مركز تدريب الحرس الوطني في الشرقية,الحزمة الأولى,28.000%
SO.1.2,مركز تدريب الحرس الوطني في الاحساء,الحزمة الأولى,28.000%
SO.1.2,مركز تدريب الحرس الوطني في الغربية,الحزمة الأولى,28.000%
SO.1.2,قوات الافواج,الحزمة الأولى,80.000%
SO.1.2,قيادة التدريب والعقيدة,الحزمة الأولى,28.000%
SO.1.2,مكتب نائب رئيس الجهاز العسكري,الحزمة الأولى,22.000%
SO.1.2,مكتب رئيس الجهاز العسكري,الحزمة الأولى,36.000%
SO.1.20,الخدمات الرقمية والتقنية,الحزمة الأولى,40.000%
SO.1.20,هيئة شؤون الافراد,الحزمة الأولى,18.000%
SO.1.20,الإدارة العامة لشؤون الضباط,الحزمة الأولى,18.000%
SO.1.20,الموارد البشرية,الحزمة الأولى,18.000%
SO.1.20,سلاح الاشارة,الحزمة الأولى,40.000%
SO.1.20,تقنية المعلومات في القطاع الصحي,الحزمة الأولى,40.000%
SO.1.20,ادارة التعليم - هيئة التدريب والتعليم,الحزمة الأولى,18.000%
SO.1.20,ادارة التدريب - هيئة التدريب والتعليم,الحزمة الأولى,18.000%
SO.1.21,تخطيط الأمن السيبراني وإدارة الأداء,الحزمة الأولى,22.000%
SO.1.22,الموارد البشرية,الحزمة الأولى,22.000%
SO.1.22,ادارة الامن السيبراني,الحزمة الأولى,44.000%
SO.1.22,الامن السيبراني - سلاح الاشارة,الحزمة الأولى,44.000%
SO.1.22,الامن السيبراني - القطاع الصحي,الحزمة الأولى,44.000%
SO.1.22,الامن السيبراني - الخدمات الرقمية والتقنية,الحزمة الأولى,44.000%
SO.1.22,الإدارة العامة لشؤون الضباط,الحزمة الأولى,8.000%
SO.1.22,هيئة شؤون الافراد,الحزمة الأولى,8.000%
SO.1.22,هيئة التعليم والتدريب,الحزمة الأولى,22.000%
SO.1.23,تخطيط الأمن السيبراني وإدارة الأداء,الحزمة الأولى,19.000%
SO.1.23,الامن السيبراني - سلاح الاشارة,الحزمة الأولى,19.000%
SO.1.23,الامن السيبراني - القطاع الصحي,الحزمة الأولى,19.000%
SO.1.23,الامن السيبراني - الخدمات الرقمية والتقنية,الحزمة الأولى,19.000%
SO.1.25,ادارة مواهب الموارد البشرية في القطاع الصحي,الحزمة الثانية,23.000%
SO.1.25,ادارة تخطيط الموارد البشرية في القطاع الصحي,الحزمة الثانية,23.000%
SO.1.25,مكتب المدير التنفيذي للموارد البشرية,الحزمة الثانية,11.000%
SO.1.27,ادارة مواهب الموارد البشرية في القطاع الصحي,الحزمة الثانية,16.000%
SO.1.27,ادارة تخطيط الموارد البشرية في القطاع الصحي,الحزمة الثانية,24.000%
SO.1.28,الموارد البشرية في القطاع الصحي,الحزمة الأولى,15.000%
SO.1.28,ادارة التواصل المؤسسي - القطاع الصحي,الحزمة الأولى,18.000%
SO.1.28,ادارة العلاقات العامة والاعلام - القطاع الصحي,الحزمة الأولى,20.000%
SO.1.28,مكتب CEO,الحزمة الأولى,9.000%
SO.1.30,ادارة تخطيط الموارد البشرية في القطاع الصحي,الحزمة الثانية,16.000%
SO.1.30,ادارة عمليات الموارد البشرية,الحزمة الثانية,16.000%
SO.1.31,الموارد البشرية في القطاع الصحي,الحزمة الأولى,47.000%
SO.1.31,ادارة التواصل المؤسسي - القطاع الصحي,الحزمة الأولى,47.000%
SO.1.31,ادارة خدمات القوى البشرية - القطاع الصحي,الحزمة الأولى,47.000%
SO.1.31,تقنية المعلومات في القطاع الصحي,الحزمة الأولى,27.000%
SO.1.32,الادارة المالية في القطاع الصحي,الحزمة الأولى,19.000%
SO.1.32,الموارد البشرية في القطاع الصحي,الحزمة الأولى,24.000%
SO.1.32,ادارة خدمات القوى البشرية - القطاع الصحي,الحزمة الأولى,9.000%
SO.1.32,مكتب CEO,الحزمة الأولى,9.000%
SO.1.32,مكتب COO,الحزمة الأولى,9.000%
SO.1.4,مكتب وكيل الوزارة,الحزمة الصفرية,21.000%
SO.1.4,الموارد البشرية,الحزمة الصفرية,31.000%
SO.1.4,مكتب الوزير,الحزمة الصفرية,21.000%
SO.1.44,تطوير القوات والقدرات,الحزمة الثانية,19.000%
SO.1.44,هيئة الاتصالات,الحزمة الثانية,7.000%
SO.1.44,هيئة التعليم والتدريب,الحزمة الثانية,7.000%
SO.1.45,ادارة التدريب - هيئة التدريب والتعليم,الحزمة الأولى,36.000%
SO.1.45,قيادة التدريب والعقيدة,الحزمة الأولى,60.000%
SO.1.45,قاعدة إسناد التدريب والعقيدة العسكرية ,الحزمة الأولى,26.000%
SO.1.45,مكتب رئيس الجهاز العسكري,الحزمة الأولى,22.000%
SO.1.45,مدارس الحرس الوطني العسكرية,الحزمة الأولى,62.000%
SO.1.45,مركز تدريب الحرس الوطني في الرياض,الحزمة الأولى,62.000%
SO.1.45,مركز تدريب الحرس الوطني في الشرقية,الحزمة الأولى,62.000%
SO.1.45,مركز تدريب الحرس الوطني في الاحساء,الحزمة الأولى,62.000%
SO.1.45,مركز تدريب الحرس الوطني في الغربية,الحزمة الأولى,62.000%
SO.1.45,كلية الملك خالد العسكرية,الحزمة الأولى,26.000%
SO.1.46,هيئة التعليم والتدريب,الحزمة الثالثة,41.000%
SO.1.46,كلية الملك خالد العسكرية,الحزمة الثالثة,10.000%
SO.1.46,كلية الملك عبدالله للقيادة والاركان,الحزمة الثالثة,10.000%
SO.1.46,قيادة التدريب والعقيدة,الحزمة الثالثة,15.000%
SO.1.47,هيئة الامداد والتموين,الحزمة الثانية,27.000%
SO.1.47,هيئة التعليم والتدريب,الحزمة الثانية,20.000%
SO.1.47,هيئة القوة البشرية,الحزمة الثانية,8.000%
SO.1.48,قيادة الشرطة العسكرية,الحزمة الثانية,20.000%
so.1.5,الموارد البشرية,الحزمة الصفرية,40.000%
so.1.5,مكتب وكيل الوزارة,الحزمة الصفرية,20.000%
SO.1.50,كتيبة هندسة القتال الأولى,الحزمة الثانية,53.000%
SO.1.50,هيئة التعليم والتدريب,الحزمة الثانية,9.000%
SO.1.50,قيادة المناورة,الحزمة الثانية,6.000%
SO.1.51,هيئة الخطط,الحزمة الثالثة,42.000%
SO.1.51,هيئة التعليم والتدريب,الحزمة الثالثة,10.000%
SO.1.51,مكتب رئيس الجهاز العسكري,الحزمة الثالثة,8.000%
SO.1.52,إدارة الأمن والسلامة,الحزمة الثانية,20.000%
SO.1.53,هيئة الاتصالات,الحزمة الثالثة,23.000%
SO.1.53,هيئة التعليم والتدريب,الحزمة الثالثة,7.000%
SO.1.55,هيئة التعليم والتدريب,الحزمة الثالثة,15.000%
SO.1.56,الاستخبارات العملياتية,الحزمة الثالثة,33.000%
SO.1.56,اسناد القتل,الحزمة الثالثة,8.000%
SO.1.56,هيئة التعليم والتدريب,الحزمة الثالثة,6.000%
SO.1.56,هيئة الاستخبارات,الحزمة الثالثة,6.000%
SO.1.57,الموارد البشرية,الحزمة الأولى,46.000%
SO.1.57,هيئة التعليم والتدريب,الحزمة الأولى,46.000%
SO.1.57,الإدارة العامة لشؤون الضباط,الحزمة الأولى,46.000%
SO.1.57,هيئة شؤون الافراد,الحزمة الأولى,46.000%
SO.1.57,خدمات الدعم المؤسسي,الحزمة الأولى,14.000%
SO.1.58,الموارد البشرية,الحزمة الثانية,12.000%
SO.1.58,شؤون المتقاعدين,الحزمة الثانية,10.000%
