pr_id,in_id,in_name
MA-17,SO.1.1,تطوير البنية التحتية للخدمات اللوجستية
EA-3,SO.1.10,تقييم أصول وزارة الحرس الوطني وتطوير سجل الأصول
EA-20,SO.1.11,تطوير قدرات إدارة الإعلام
EA-11,SO.1.12,تعزيز القدرات التحليلية لإعداد تقارير شاملة للوزير
EA-6,SO.1.13,تطوير القدرات لتمكين التخطيط الوظيفي وتخطيط الميزانية
EA-1,SO.1.15,وضع السياسات اللازمة لتحقيق أهداف الموارد البشرية
EA-1,SO.1.17,تطوير دليل السياسات والاجراءات للشؤون الهندسية والمرافق ونقل المعرفة
EA-3,SO.1.18,تحسين القدرات المتعلقة بإدارة الأصول والمحافظ
EA-14,SO.1.19,تفصيل وتفعيل نموذج وإجراءات تقديم خدمات تقنية المعلومات والاتصالات
MA-15,SO.1.2,دمج الأفواج في هيكل القوات
EA-22,SO.1.20,تحسين المهارات المتعلقة بتقنية المعلومات والاتصالات لمنسوبي الوزارة (التوظيف / التدريب)
EA-18,SO.1.21,بناء علاقات تعاون وشراكات خارجية
EA-22,SO.1.22,بناء وتعزيز رأس المال البشري للأمن السيبراني وتعيين الموظفين وتحسين مهاراتهم والاحتفاظ بهم
EA-25,SO.1.23,تطوير حملة ونشر عمليات التوعية الخاصة بالأمن السيبراني
HA-9,SO.1.25,تطوير المسار الوظيفي للموظفين الإداريين في الشؤون الصحية
HA-9,SO.1.26,رفع القدرات والجدارات للكادر الاداري
HA-9,SO.1.27,تطوير وتنفيذ الخطة الوظيفية للوظائف الإدارية
HA-10,SO.1.28,تعزيز الصورة الذهنية للشؤون الصحية داخليا وخارجيا
HA-10,SO.1.30,تصميم برنامج تقدير الموظف
HA-10,SO.1.31,دعم وتعزيز مشاركة موظفي الشؤون الصحية
HA-8,SO.1.32,تطوير  سلم رواتب موحد ولوائح التعويضات والمزايا والحوافز والمكافآت
EA-21,SO.1.4,بناء وتفعيل خطة استقطاب المواهب
MA-19,SO.1.44,تحسين أنشطة مركز التميز العسكري
MA-10,SO.1.45,تطوير مراكز التدريب وتكاملها في قيادة التدريب والعقيدة
MA-11,SO.1.46,تطوير وتعزيز التخطيط للتدريب والإشراف
MA-17,SO.1.47,تطوير وتعزيز القدرات البشرية للخدمات اللوجستية
MA-13,SO.1.48,رفع قدرات الشرطة العسكرية
EA-21,SO.1.5,وضع خطة التوظيف بناء على تقييم القدرات الحالية
MA-7,SO.1.50,تعزيز قدرات هندسة الميدان
MA-16,SO.1.51,تطوير وتعزيز قدرات التخطيط العملياتي
MA-13,SO.1.52,تحسين عمليات الأمن والسلامة
