be_id,kpi_id,kpi_name_EN,kpi_name_AR,level,portfolio,description,formula,unit_of_measurement,polarity
be_01,kpi_01,Level of readiness of forces to carry out future missions,مستوى جاهزية القوات لتنفيذ المهام المستقبلية,1,MA portfolio,,,,
be_01,kpi_02,Level of completeness of organizational units responsible for force building,نسبة اكتمال الوحدات التنظيمية المسؤولة عن بناء القوات,2,MA portfolio,,,,
be_02,kpi_03,Efficiency ratio of the use of forces,نسبة كفاءة استخدام القوات,1,MA portfolio,,,,
be_02,kpi_04,Percentage of tasks exited,نسبة المهام التي تم الخروج منها,2,MA portfolio,,,,
be_02,kpi_05,Percentage of military forces assigned to the main targeted missions,نسبة القوات العسكرية التي تم إسنادها للمهمات الرئيسية المستهدفة,2,MA portfolio,,,,
be_03,kpi_06,Number of security and safety violations,عدد مخالفات الامن والسلامة,2,MA portfolio,,,,
be_04,kpi_07,Percentage of units that are satisfied with military education and training outputs,نسبة رضى الوحدات عن مخرجات التعليم والتدريب العسكري,2,MA portfolio,,,,
be_05,kpi_08,Percentage of units associated with the command and control system,نسبة الوحدات العسكرية المرتبطة  بنظام القيادة والسيطرة,2,MA portfolio,,,,
be_06,kpi_09,Percentage of completion of specialized capabilities,نسبة اكتمال القدرات المتخصصة​,1,MA portfolio,,,,
be_06,kpi_10,Percentage of Completion of specialized medical capacity and field hospitals,نسبة اكتمال القدرات  الطبية المتخصصة والمستشفيات الميدانية,2,MA portfolio,,,,
be_06,kpi_11,"Percentage of Completion of chemical, biological, radiological and nuclear response capabilities",نسبة اكتمال قدرات الاستجابة الكيميائية والبيولوجية والإشعاعية والنووية,2,MA portfolio,,,,
be_06,kpi_12,Percentage of completion of explosive and mine control capabilities,نسبة اكتمال قدرات مكافحة المتفجرات والألغام,2,MA portfolio,,,,
be_06,kpi_13,Air transport capacity utilization rate,معدل استغلال القدرة الاستيعابية للنقل الجوي,2,MA portfolio,,,,
be_06,kpi_14,Percentage of Completion of Electronic Warfare Capabilities,نسبة اكتمال قدرات الحرب الإلكترونية,2,MA portfolio,,,,
be_06,kpi_15,Percentage of completion of intelligence capabilities (drones),نسبة اكتمال القدرات الاستخباراتية (الطائرات بدون طيار),2,MA portfolio,,,,
be_06,kpi_16,Completion rate of intelligence capabilities (human elements),نسبة اكتمال القدرات الاستخباراتية (العناصر البشرية),2,MA portfolio,,,,
be_07,kpi_17,Percentage of integration in joint tasks with the security and defense system,نسبة التكامل في المهام المشتركة مع منظومة الأمن والدفاع,1,MA portfolio,,,,
be_07,kpi_18,Number of plans on joint missions,عدد الخطط على المهمات المشتركة المستهدفة,2,MA portfolio,,,,
be_07,kpi_19,Number of exercises for joint mission plans,عدد التدريبات للخطط على المهمات المشتركة المستهدفة,2,MA portfolio,,,,
be_08,kpi_20,Level of service level agreement activation for intelligence information exchange.,نسبة تفعيل اتفاقية مستوى الخدمة لتبادل المعلومات الاستخباراتية ,2,MA portfolio,,,,
be_09,kpi_21,Level of completion of target operating model activation,نسبة اكتمال تفعيل النموذج التشغيلي المستهدف,2,EA portfolio,,,,
be_10,kpi_22,Percentage of compliance with cybersecurity policies and standards,نسبة الامتثال لسياسات ومعايير الأمن السيبراني,1,EA portfolio,,,,
be_10,kpi_23,Percentage of cyber attacks prevented,نسبة التصدي والاستجابة للهجمات السيبرانية,2,EA portfolio,,,,
be_11,kpi_24,Percentage of commitment to the financial budget,نسبة الالتزام بالموازنة المالية,1,EA portfolio,,,,
be_11,kpi_25,Project execution success rate,نسبة نجاح تنفيذ المشاريع,1,EA portfolio,,,,
be_11,kpi_26,Percentage of users' satisfaction with digital services,نسبة رضا المستخدمين عن الخدمات الرقمية,1,EA portfolio,,,,
be_11,kpi_27,Percentage of efficiency in administrative activities ,نسبة الموظفين الإدارين من إجمالي الموظفين,1,EA portfolio,,,,
