pr_id,ot_id,ot_name
MA-1,ot_001,تفعيل بنية الاستخبارات العملياتية 
MA-2,ot_002,اعتماد سياسة وحوكمة الطب العسكري الميداني والمنهج التدريبي
MA-2,ot_003,امتلاك الطب العسكري الميداني للمرافق اللازمة لتنفيذ المهام بكفاءة وفعالية عالية والتي تتستوفي المعايير الدولية
MA-3,ot_004,اعتماد سياسة التعويضات للعاملين في الطب العسكري الميداني
MA-3,ot_005,تطبيق الأدوار والمسؤوليات المتعلقة بعمليات الإلحاق بين الطب العسكري الميداني والشؤون الصحية
MA-4,ot_006,اكتمال بناء  الانظمة والقدرات والتخطيط مع الشركاء في منظومة الأمن والدفاع
MA-4,ot_007,اعتماد خطة تدريب مشتركة لمنظومة الأمن والدفاع
MA-5,ot_008,اعتماد تخصيص جميع القوات للمهام المستقبلية للوزارة
MA-6,ot_009,إعادة هيكلة وتعيين القدرات المخصصة لتنفيذ المهمة الرئيسية
MA-6,ot_010,اعتماد الخطة العملياتية التي تتضمن آلية التدوير بين الوحدات
MA-7,ot_011,تفعيل الهياكل المستقبلية للقوات
MA-7,ot_012,تفعيل خطط التدريب والدعم لوحدات هندسة الميدان
MA-8,ot_013,اعتماد خطة بناء القدرات المحدثة
MA-8,ot_014,تفعيل قيادة المناورة
MA-9,ot_015,تفعيل استراتيجية تطوير الكليات العسكرية
MA-10,ot_016,زيادة السعة الاستيعابية للمدارس
MA-10,ot_017,تفعيل قيادة التدريب والعقيدة
MA-11,ot_018,اعتماد خطط تدريبية محدثة وفق منهجية تحسين التدريب
MA-12,ot_019,تفعيل النموذج التشغيلي لهيئة القوى البشرية بعد الدمج
MA-13,ot_020,تفعيل سياسات الأمن والسلامة
MA-14,ot_021,تفعيل هيئة الاتصالات بكامل وظائفها
MA-15,ot_022,دمج قوات الأفواج ضمن هياكل القوات 
MA-16,ot_023,تفعيل النموذج التشغيلي المستهدف لهيئة العمليات
MA-16,ot_024,تفعيل النموذج التشغيلي المستهدف لهيئة الخطط
MA-17,ot_025,تحديث نظام الإمداد والتموين المركزي
MA-17,ot_026,استحداث جهة مركزية لإدارة وتخزين جميع أصناف التموين
MA-18,ot_027,انتقال الأدوار والمسؤوليات للجهات بالجهاز العسكري بنسبة 80%
MA-18,ot_028,تفعيل القيادات ضمن النموذج التشغيلي المستهدف
MA-19,ot_029,اعتماد الحوكمة العملياتية للجهاز العسكري
MA-19,ot_030,تفعيل أنشطة مركز التميز العسكري
MA-20,ot_031,تفعيل إدارة تطوير القدرات
MA-20,ot_032,تفعيل إدارة تكامل القدرات
E-1,ot_033,اعتماد الأطر الرئيسية والسياسات التنظيمية لوزارة الحرس الوطني
E-2,ot_034,تدشين دليل شامل مرجعي لإدارة مرحلة التحول يحتوي على الحوكمة واللوائح والانظمة اللازمة للأنشطة الانتقالية
E-3,ot_035,اعتماد معايير تخصيص المساحات المكتبية والخدمات المساندة
E-3,ot_036,اعتماد معايير تخصيص المساحات الخضراء
E-3,ot_037,اعتماد خطة العمل للحصول  على شهادة  (LEED Certified)  لمباني الحرس الوطني
E-4,ot_038, تفعيل وكالة المشتريات والتسليح
E-5,ot_039,تفعيل مكتب ادارة المشاريع المؤسسي
E-5,ot_040,تفعيل المكاتب الفرعية لادارة المشاريع
E-6,ot_041,خطة ميزانية متعددة السنوات (3 سنوات) موافق عليها
E-7,ot_042,تفعيل لجان المستوى الأول والثاني في الوزارة
E-8,ot_043,تفعيل  إدارة الخدمات المشتركة
E-8,ot_044,إطلاق الوحدات المركزية للخدمات الممكنة
E-9,ot_045,تفعيل إدارة مركزية موحدة لإدارة المخاطر والرقابة عليها
E-9,ot_046,تفعيل دور إدارة التدقيق والمرجعة
E-10,ot_047,تحقيق شهادات معيارية في التميز المؤسسي لوزارة الحرس الوطني
E-11,ot_048,تفعيل إدارة التحليل الاستراتيجي
E-11,ot_049,تفعيل الشراكات الاستراتيجية مع شركاءمنظومة الأمن والدفاع لتبادل المعلومات
E-12,ot_050,إطلاق مركز التعافي من الكوارث التقنية
